,TransactionAmt,TransactionDT,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D10,D11,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V307,V308,V309,V310
5833,70.0,183159,W,4610,555.0,150.0,visa,226.0,credit,225.0,87.0,,outlook.com,,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,1.0,97.0,97.0,7.0,90.0,7.0,39.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,468.5,0.0,0.0,468.5
7072,59.0,234620,W,3898,281.0,150.0,visa,226.0,credit,181.0,87.0,17.0,hotmail.com,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,35.0,1.0,190.0,190.0,0.0,190.0,0.0,190.0,183.0,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,,797.0,255.0,0.0,554.0
9190,108.95,264721,W,17188,321.0,150.0,visa,226.0,debit,310.0,87.0,13.0,comcast.net,,5.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,8.0,4.0,91.0,91.0,24.0,,,91.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,363.8999938964844,0.0,0.0,0.0
7315,30.95,237578,W,16435,298.0,150.0,visa,226.0,debit,337.0,87.0,33.0,,,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,25.0,2.0,238.0,238.0,14.0,,,112.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,55.95000076293945,0.0,0.0,55.95000076293945
3312,35.95,154335,W,15813,251.0,150.0,visa,226.0,debit,441.0,87.0,,gmail.com,,5.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,41.0,5.0,0.0,,,,,277.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1383,50.0,132661,W,14084,257.0,150.0,visa,226.0,debit,226.0,87.0,,anonymous.com,,5.0,4.0,0.0,0.0,5.0,6.0,0.0,0.0,4.0,0.0,4.0,0.0,34.0,5.0,446.0,446.0,9.0,434.0,9.0,446.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,110.0,0.0,0.0,110.0
5998,40.0,187943,W,6933,477.0,150.0,mastercard,117.0,debit,204.0,87.0,,anonymous.com,,5.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,6.0,3.0,61.0,61.0,5.0,8.0,5.0,127.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,98.0,49.0,0.0,98.0
5908,52.95,185116,W,7664,490.0,150.0,visa,226.0,debit,264.0,87.0,34.0,,,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,17.0,1.0,115.0,115.0,9.0,,,114.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,160.85000610351562,0.0,0.0,160.85000610351562
7578,57.95,241342,W,9231,480.0,150.0,mastercard,117.0,debit,325.0,87.0,0.0,gmail.com,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,337.0,337.0,57.0,479.0,57.0,479.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
9709,107.95,286282,W,4806,490.0,150.0,visa,226.0,debit,315.0,87.0,,yahoo.com,,33.0,24.0,0.0,0.0,8.0,16.0,0.0,0.0,15.0,0.0,19.0,0.0,74.0,12.0,148.0,148.0,8.0,148.0,8.0,21.0,,64.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,114.0,0.0,0.0,114.0
